timestamp,log_level,source,message,label
2026-08-04 10:00:01,INFO,AuthService,User authentication successful for UID 10928 from IP 192.168.1.105 via OAuth2,INFO
2026-08-04 10:00:02,INFO,AuthService,User authentication successful for UID 48192 from IP 10.0.0.42 via OAuth2,INFO
2026-08-04 10:00:03,INFO,AuthService,User authentication successful for UID 77410 from IP 172.16.0.15 via OAuth2,INFO
2026-08-04 10:00:04,INFO,AuthService,User authentication successful for UID 33912 from IP 192.168.1.188 via OAuth2,INFO
2026-08-04 10:00:05,ERROR,PostgreSQL,FATAL: remaining connection slots are reserved for non-replication superuser connections,ERROR
2026-08-04 10:00:06,ERROR,PostgreSQL,FATAL: remaining connection slots are reserved for non-replication superuser connections,ERROR
2026-08-04 10:00:07,ERROR,PostgreSQL,FATAL: remaining connection slots are reserved for non-replication superuser connections,ERROR
2026-08-04 10:00:08,WARNING,PaymentService,Stripe API returned 429 Too Many Requests. Retrying in 1500ms (attempt 2/5),WARNING
2026-08-04 10:00:09,WARNING,PaymentService,Stripe API returned 429 Too Many Requests. Retrying in 3000ms (attempt 3/5),WARNING
2026-08-04 10:00:10,WARNING,PaymentService,Stripe API returned 429 Too Many Requests. Retrying in 6000ms (attempt 4/5),WARNING
2026-08-04 10:00:11,CRITICAL,Kubelet,Node worker-node-04 status changed to NotReady: Pipelined disk pressure threshold exceeded,CRITICAL
2026-08-04 10:00:12,CRITICAL,Kubelet,Node worker-node-02 status changed to NotReady: Pipelined disk pressure threshold exceeded,CRITICAL
2026-08-04 10:00:13,CRITICAL,Kubelet,Node worker-node-09 status changed to NotReady: Pipelined disk pressure threshold exceeded,CRITICAL
2026-08-04 10:00:14,DEBUG,RedisCache,Cache hit for key 'session:user:10928:permissions' [TTL: 3540s],DEBUG
2026-08-04 10:00:15,DEBUG,RedisCache,Cache hit for key 'session:user:48192:permissions' [TTL: 3200s],DEBUG
2026-08-04 10:00:16,DEBUG,RedisCache,Cache hit for key 'session:user:77410:permissions' [TTL: 2890s],DEBUG
2026-08-04 10:00:17,ERROR,SSHD,Failed password for root from 185.220.101.4 port 54122 ssh2: Invalid credentials,ERROR
2026-08-04 10:00:18,ERROR,SSHD,Failed password for root from 185.220.101.4 port 54125 ssh2: Invalid credentials,ERROR
2026-08-04 10:00:19,ERROR,SSHD,Failed password for admin from 185.220.101.4 port 54130 ssh2: Invalid credentials,ERROR
2026-08-04 10:00:20,INFO,OrderProcessor,Successfully processed order #ORD-99482. Sent receipt to user_99@example.com,INFO
2026-08-04 10:00:21,INFO,OrderProcessor,Successfully processed order #ORD-99483. Sent receipt to user_101@example.com,INFO
2026-08-04 10:00:22,INFO,OrderProcessor,Successfully processed order #ORD-99484. Sent receipt to user_402@example.com,INFO
2026-08-04 10:00:23,WARNING,MemoryManager,High memory usage detected: Heap utilization at 87%,WARNING
2026-08-04 10:00:24,WARNING,MemoryManager,High memory usage detected: Heap utilization at 92%,WARNING
2026-08-04 10:00:25,WARNING,MemoryManager,High memory usage detected: Heap utilization at 95%,WARNING
2026-08-04 10:00:26,INFO,NginxAccess,GET /api/v1/products/search?q=wireless+headphones HTTP/1.1 200 4821 45ms,INFO
2026-08-04 10:00:27,INFO,NginxAccess,GET /api/v1/products/search?q=bluetooth+speaker HTTP/1.1 200 3192 38ms,INFO
2026-08-04 10:00:28,INFO,NginxAccess,GET /api/v1/products/search?q=usb+keyboard HTTP/1.1 200 5120 52ms,INFO
2026-08-04 10:00:29,ERROR,DatabasePool,HikariPool-1 - Connection is not available request timed out after 30005ms.,ERROR
2026-08-04 10:00:30,ERROR,DatabasePool,HikariPool-1 - Connection is not available request timed out after 30000ms.,ERROR
2026-08-04 10:00:31,CRITICAL,Kernel,Kernel panic - not syncing: Fatal exception in interrupt at eip 00007ff81290,CRITICAL
2026-08-04 10:00:32,CRITICAL,StorageController,RAID array /dev/md0 degraded: Disk 2 (/dev/sdc) reported read I/O error EIO,CRITICAL
2026-08-04 10:00:33,INFO,BackupManager,S3 upload completed for DB snapshot s3://backups-prod/2026-08-04/db_dump.sql.gz (14.2GB),INFO
2026-08-04 10:00:34,CRITICAL,Kernel,Kernel panic - not syncing: Fatal exception in interrupt handler at 0x00007ff89,CRITICAL
2026-08-04 10:00:35,CRITICAL,Kernel,Kernel panic - not syncing: System fatal exception during interrupt context,CRITICAL
2026-08-04 10:00:36,CRITICAL,StorageController,RAID array /dev/md1 degraded: Disk 4 (/dev/sdd) reported I/O failure,CRITICAL
2026-08-04 10:00:37,CRITICAL,StorageController,RAID array /dev/md0 drive failure: Disk 1 failed write verification,CRITICAL
2026-08-04 10:00:38,CRITICAL,Kernel,Out of memory: Kill process 4819 (java) score 850 or sacrifice child,CRITICAL
2026-08-04 10:00:39,CRITICAL,Kernel,Out of memory: Kill process 1092 (python3) score 920 or sacrifice child,CRITICAL
2026-08-04 10:00:40,CRITICAL,EnvironmentHealth,Primary data center core router unreachable: ping timeout 100% loss on 10.0.0.1,CRITICAL
